Region,Information,2013,2014,2015
Askola,"Inhabitants, total (HE)",4991.0,5064.0,5104.0
Askola,Males (HE),2518.0,2549.0,2565.0
Askola,Females (HE),2473.0,2515.0,2539.0
Askola,Average age of inhabitants (HE),40.0,40.0,40.0
Askola,0-2 years (HE),206.0,191.0,212.0
Askola,3-6 years (HE),283.0,294.0,300.0
Askola,7-12 years (HE),424.0,421.0,415.0
Askola,13-15 years (HE),205.0,208.0,222.0
Askola,16-17 years (HE),131.0,135.0,123.0
Askola,18-19 years (HE),119.0,116.0,115.0
Askola,20-24 years (HE),174.0,194.0,196.0
Askola,25-29 years (HE),233.0,226.0,207.0
Askola,30-34 years (HE),303.0,307.0,310.0
Askola,35-39 years (HE),390.0,374.0,364.0
Askola,40-44 years (HE),314.0,339.0,337.0
Askola,45-49 years (HE),385.0,376.0,380.0
Askola,50-54 years (HE),356.0,362.0,378.0
Askola,55-59 years (HE),347.0,360.0,359.0
Askola,60-64 years (HE),347.0,341.0,320.0
Askola,65-69 years (HE),286.0,323.0,338.0
Askola,70-74 years (HE),167.0,166.0,192.0
Askola,75-79 years (HE),129.0,144.0,137.0
Askola,80-84 years (HE),90.0,83.0,90.0
Askola,85 years or over (HE),102.0,104.0,109.0
Askola,"Aged 18 or over, total (KO)",3742.0,3815.0,3832.0
Askola,Basic level studies (KO),1132.0,1128.0,1123.0
Askola,"With education, total (KO)",2610.0,2687.0,2709.0
Askola,Matriculation examination (KO),183.0,194.0,193.0
Askola,Vocational diploma (KO),1945.0,1990.0,2004.0
Askola,Academic degree - Lower level university degree (KO),307.0,318.0,316.0
Askola,Academic degree - Higher level university degree (KO),175.0,185.0,196.0
Askola,"Aged 18 or over, total (HR)",3742.0,3815.0,3832.0
Askola,Average income of inhabitants (HR),24409.0,25160.0,24697.0
Askola,Median income of inhabitants (HR),22709.0,22711.0,22695.0
Askola,Inhabitants belonging to the lowest income category (HR),682.0,693.0,708.0
Askola,Inhabitants belonging to the middle income category (HR),2108.0,2142.0,2128.0
Askola,Inhabitants belonging to the highest income category (HR),952.0,980.0,996.0
Askola,Accumulated purchasing power of inhabitants (HR),91339697.0,95984693.0,94640606.0
Askola,"Households, total (TE)",2048.0,2067.0,2071.0
Askola,Average size of households (TE),2.4,2.4,2.4
Askola,Average floor area per person (TE),42.7,42.6,42.4
Askola,One-person households (TE),626.0,615.0,630.0
Askola,Young one-person households (TE),78.0,80.0,89.0
Askola,Young couples without children (TE),61.0,54.0,51.0
Askola,Households with children (TE),615.0,618.0,603.0
Askola,Households with small children (TE),174.0,166.0,168.0
Askola,Households with children under school age (TE),306.0,312.0,313.0
Askola,Households with school-age children (TE),298.0,296.0,289.0
Askola,Households with teenagers (TE),244.0,250.0,258.0
Askola,One-parent households with children (TE),103.0,96.0,85.0
Askola,Adult households (TE),879.0,871.0,861.0
Askola,Pensioner households (TE),567.0,589.0,620.0
Askola,Households living in owner-occupied dwellings (TE),1795.0,1802.0,1798.0
Askola,Households living in rented dwellings (TE),209.0,222.0,228.0
Askola,Households living in other dwellings (TE),44.0,43.0,45.0
Askola,"Households, total (TR)",2048.0,2067.0,2071.0
Askola,Average income of households (TR),44324.0,46009.0,45255.0
Askola,Median income of households (TR),40733.0,40869.0,40537.0
Askola,Households belonging to the lowest income category (TR),379.0,368.0,365.0
Askola,Households belonging to the middle income category (TR),1205.0,1222.0,1231.0
Askola,Households belonging to the highest income category (TR),464.0,477.0,475.0
Askola,Accumulated purchasing power of households (TR),90776075.0,95100763.0,93723036.0
Askola,Free-time residences (RA),572.0,577.0,579.0
Askola,"Buildings, total (RA)",2272.0,2299.0,2307.0
Askola,Other buildings (RA),322.0,328.0,327.0
Askola,Residential buildings (RA),1950.0,1971.0,1980.0
Askola,Dwellings (RA),2317.0,2249.0,2258.0
Askola,Average floor area per dwelling (RA),100.2,101.9,101.8
Askola,Dwellings in small houses (RA),2179.0,2149.0,2155.0
Askola,Dwellings in blocks of flats (RA),60.0,37.0,37.0
Askola,Other dwellings (RA),78.0,63.0,66.0
Askola,"Workplaces, total (TP)",1392.0,1359.0,1345.0
Askola,Primary production (TP),132.0,140.0,121.0
Askola,Processing (TP),527.0,511.0,523.0
Askola,Services (TP),700.0,689.0,675.0
Askola,"A Agriculture, forestry and fishing (TP)",132.0,140.0,121.0
Askola,B Mining and quarrying (TP),1.0,1.0,0.0
Askola,C Manufacturing (TP),232.0,228.0,227.0
Askola,"D Electricity, gas, steam and air conditioning supply (TP)",0.0,0.0,0.0
Askola,"E Water supply; sewerage, waste management and remediation activities (TP)",1.0,1.0,1.0
Askola,F Construction (TP),293.0,281.0,295.0
Askola,G Wholesale and retail trade; repair of motor vehicles and motorcycles (TP),75.0,76.0,83.0
Askola,H Transportation and storage (TP),66.0,51.0,46.0
Askola,I Accommodation and food service activities (TP),2.0,3.0,5.0
Askola,J Information and communication (TP),0.0,1.0,1.0
Askola,K Financial and insurance activities (TP),10.0,9.0,10.0
Askola,L Real estate activities (TP),3.0,11.0,12.0
Askola,"M Professional, scientific and technical activities (TP)",31.0,43.0,41.0
Askola,N Administrative and support service activities (TP),66.0,75.0,74.0
Askola,O Public administration and defence; compulsory social security (TP),38.0,30.0,27.0
Askola,P Education (TP),156.0,150.0,140.0
Askola,Q Human health and social work activities (TP),209.0,197.0,192.0
Askola,"R Arts, entertainment and recreation (TP)",6.0,4.0,5.0
Askola,S Other service activities (TP),35.0,37.0,35.0
Askola,T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use (TP),3.0,2.0,4.0
Askola,U Activities of extraterritorial organisations and bodies (TP),0.0,0.0,0.0
Askola,X Industry unknown (TP),33.0,19.0,26.0
Askola,"Inhabitants, total (PT)",4991.0,5064.0,5104.0
Askola,Employed (PT),2322.0,2321.0,2269.0
Askola,Unemployed (PT),212.0,242.0,256.0
Askola,Children aged 0 to 14 (PT),1049.0,1055.0,1073.0
Askola,Students (PT),303.0,311.0,309.0
Askola,Pensioners (PT),978.0,1014.0,1066.0
Askola,Others (PT),127.0,121.0,131.0
Espoo,"Inhabitants, total (HE)",260753.0,265543.0,269802.0
Espoo,Males (HE),128937.0,131429.0,133648.0
Espoo,Females (HE),131816.0,134114.0,136154.0
Espoo,Average age of inhabitants (HE),38.0,38.0,38.0
Espoo,0-2 years (HE),10771.0,10870.0,10606.0
Espoo,3-6 years (HE),14366.0,14658.0,14879.0
Espoo,7-12 years (HE),19582.0,20300.0,20971.0
Espoo,13-15 years (HE),8917.0,9146.0,9342.0
Espoo,16-17 years (HE),6207.0,6022.0,6059.0
Espoo,18-19 years (HE),6524.0,6434.0,6332.0
Espoo,20-24 years (HE),17327.0,17593.0,17587.0
Espoo,25-29 years (HE),17951.0,18125.0,18563.0
Espoo,30-34 years (HE),20637.0,20701.0,20806.0
Espoo,35-39 years (HE),20222.0,20891.0,21233.0
Espoo,40-44 years (HE),18245.0,18675.0,19178.0
Espoo,45-49 years (HE),19440.0,19263.0,19302.0
Espoo,50-54 years (HE),17296.0,17914.0,18253.0
Espoo,55-59 years (HE),15052.0,15213.0,15446.0
Espoo,60-64 years (HE),13914.0,13737.0,13765.0
Espoo,65-69 years (HE),13510.0,14102.0,13924.0
Espoo,70-74 years (HE),8191.0,8617.0,9749.0
Espoo,75-79 years (HE),5607.0,5982.0,6215.0
Espoo,80-84 years (HE),3867.0,3931.0,4028.0
Espoo,85 years or over (HE),3127.0,3369.0,3564.0
Espoo,"Aged 18 or over, total (KO)",200910.0,204547.0,207945.0
Espoo,Basic level studies (KO),44184.0,44799.0,45762.0
Espoo,"With education, total (KO)",156726.0,159748.0,162183.0
Espoo,Matriculation examination (KO),23384.0,23314.0,23195.0
Espoo,Vocational diploma (KO),61505.0,62390.0,62760.0
Espoo,Academic degree - Lower level university degree (KO),27609.0,28579.0,29673.0
Espoo,Academic degree - Higher level university degree (KO),44228.0,45465.0,46555.0
Espoo,"Aged 18 or over, total (HR)",200910.0,204547.0,207945.0
Espoo,Average income of inhabitants (HR),30480.0,29701.0,30546.0
Espoo,Median income of inhabitants (HR),24827.0,24900.0,25013.0
Espoo,Inhabitants belonging to the lowest income category (HR),35494.0,36778.0,37392.0
Espoo,Inhabitants belonging to the middle income category (HR),94042.0,95485.0,96967.0
Espoo,Inhabitants belonging to the highest income category (HR),71374.0,72284.0,73586.0
Espoo,Accumulated purchasing power of inhabitants (HR),6123759263.0,6075260917.0,6351902988.0
Espoo,"Households, total (TE)",113790.0,115652.0,117424.0
Espoo,Average size of households (TE),2.2,2.2,2.2
Espoo,Average floor area per person (TE),36.2,36.1,36.1
Espoo,One-person households (TE),40515.0,41203.0,41881.0
Espoo,Young one-person households (TE),10959.0,10940.0,10990.0
Espoo,Young couples without children (TE),6755.0,6677.0,6668.0
Espoo,Households with children (TE),33078.0,33655.0,34086.0
Espoo,Households with small children (TE),9499.0,9670.0,9443.0
Espoo,Households with children under school age (TE),17329.0,17661.0,17767.0
Espoo,Households with school-age children (TE),14172.0,14630.0,15060.0
Espoo,Households with teenagers (TE),11498.0,11502.0,11733.0
Espoo,One-parent households with children (TE),6079.0,6202.0,6392.0
Espoo,Adult households (TE),56892.0,57067.0,57480.0
Espoo,Pensioner households (TE),24286.0,25421.0,26348.0
Espoo,Households living in owner-occupied dwellings (TE),66688.0,67347.0,67787.0
Espoo,Households living in rented dwellings (TE),44193.0,45976.0,47283.0
Espoo,Households living in other dwellings (TE),2909.0,2329.0,2354.0
Espoo,"Households, total (TR)",113790.0,115652.0,117424.0
Espoo,Average income of households (TR),53418.0,52111.0,53605.0
Espoo,Median income of households (TR),41248.0,41273.0,41609.0
Espoo,Households belonging to the lowest income category (TR),17928.0,18187.0,18391.0
Espoo,Households belonging to the middle income category (TR),55628.0,56874.0,57750.0
Espoo,Households belonging to the highest income category (TR),40234.0,40591.0,41283.0
Espoo,Accumulated purchasing power of households (TR),6078435229.0,6026690322.0,6294563060.0
Espoo,Free-time residences (RA),1622.0,1628.0,1636.0
Espoo,"Buildings, total (RA)",36263.0,36731.0,37197.0
Espoo,Other buildings (RA),3286.0,3322.0,3361.0
Espoo,Residential buildings (RA),32977.0,33409.0,33836.0
Espoo,Dwellings (RA),121624.0,123939.0,125860.0
Espoo,Average floor area per dwelling (RA),80.4,80.4,80.3
Espoo,Dwellings in small houses (RA),49975.0,50616.0,51099.0
Espoo,Dwellings in blocks of flats (RA),70402.0,72055.0,73525.0
Espoo,Other dwellings (RA),1247.0,1268.0,1236.0
Espoo,"Workplaces, total (TP)",120247.0,118065.0,116246.0
Espoo,Primary production (TP),137.0,158.0,175.0
Espoo,Processing (TP),21038.0,20814.0,19462.0
