Region,Information,2016,2017,2018
Askola,"Inhabitants, total (HE)",5046.0,4990.0,4958.0
Askola,Males (HE),2530.0,2519.0,2519.0
Askola,Females (HE),2516.0,2471.0,2439.0
Askola,Average age of inhabitants (HE),40.0,41.0,41.0
Askola,0-2 years (HE),195.0,176.0,148.0
Askola,3-6 years (HE),286.0,258.0,275.0
Askola,7-12 years (HE),430.0,439.0,433.0
Askola,13-15 years (HE),225.0,222.0,219.0
Askola,16-17 years (HE),125.0,140.0,135.0
Askola,18-19 years (HE),114.0,95.0,106.0
Askola,20-24 years (HE),189.0,197.0,169.0
Askola,25-29 years (HE),203.0,201.0,216.0
Askola,30-34 years (HE),286.0,281.0,271.0
Askola,35-39 years (HE),355.0,330.0,315.0
Askola,40-44 years (HE),332.0,363.0,370.0
Askola,45-49 years (HE),364.0,324.0,303.0
Askola,50-54 years (HE),351.0,367.0,376.0
Askola,55-59 years (HE),372.0,356.0,351.0
Askola,60-64 years (HE),332.0,312.0,326.0
Askola,65-69 years (HE),327.0,339.0,323.0
Askola,70-74 years (HE),209.0,234.0,265.0
Askola,75-79 years (HE),153.0,156.0,153.0
Askola,80-84 years (HE),88.0,93.0,107.0
Askola,85 years or over (HE),110.0,107.0,97.0
Askola,"Aged 18 or over, total (KO)",3785.0,3755.0,3748.0
Askola,Basic level studies (KO),1092.0,1049.0,1012.0
Askola,"With education, total (KO)",2693.0,2706.0,2736.0
Askola,Matriculation examination (KO),179.0,177.0,181.0
Askola,Vocational diploma (KO),1994.0,2004.0,2028.0
Askola,Academic degree - Lower level university degree (KO),318.0,319.0,324.0
Askola,Academic degree - Higher level university degree (KO),202.0,206.0,203.0
Askola,"Aged 18 or over, total (HR)",3785.0,3755.0,3748.0
Askola,Average income of inhabitants (HR),24903.0,27547.0,26126.0
Askola,Median income of inhabitants (HR),23123.0,23199.0,24074.0
Askola,Inhabitants belonging to the lowest income category (HR),720.0,717.0,716.0
Askola,Inhabitants belonging to the middle income category (HR),2113.0,2064.0,2093.0
Askola,Inhabitants belonging to the highest income category (HR),952.0,974.0,939.0
