,Time,Area,Industry,Export,Import,Industry Trade Dependency,Import-Export Imbalance,Export Growth,Import Growth,Export Growth (Absolute),Import Growth (Absolute),Industry concentration
0,2015,MK01,A,126764437.56835338,250905438.92875245,0.45786232584165143,32.87024173381495,0.0,0.0,0.0,0.0,0.7495523329714885
1,2015,MK01,B,7414042.611919787,14674648.911506796,0.02677888893209721,32.87024173381495,0.0,0.0,0.0,0.0,0.04383889553817464
2,2015,MK01,C,1521114409.2122095,3010748801.677478,5.494135379235277,32.87024173381495,0.0,0.0,0.0,0.0,8.994280067915495
3,2015,MK01,D,151615210.02682525,300092688.05806226,0.5476211942992365,32.87024173381495,0.0,0.0,0.0,0.0,0.896493816164259
4,2015,MK01,F,1209391183.7327356,2393753576.4114,4.3682177025214655,32.87024173381495,0.0,0.0,0.0,0.0,7.1510748647720845
5,2015,MK01,G,2257105242.465326,4467498869.813406,8.152471432907275,32.87024173381495,0.0,0.0,0.0,0.0,13.346160269435241
6,2015,MK01,H,1082391379.7322576,2142382275.6124408,3.909505253221652,32.87024173381496,0.0,0.0,0.0,0.0,6.400130820831129
7,2015,MK01,I,594967112.671891,1177621164.2371616,2.148970414990044,32.87024173381495,0.0,0.0,0.0,0.0,3.5180133789814527
8,2015,MK01,J,1176106447.4564714,2327872943.599688,4.247996076813082,32.87024173381495,0.0,0.0,0.0,0.0,6.954263738506788
9,2015,MK01,K,502644629.6710804,994886845.6486368,1.8155094885260719,32.87024173381495,0.0,0.0,0.0,0.0,2.9721147512084696
10,2015,MK01,L,212928165.59524128,421449705.2468724,0.7690783551503897,32.87024173381495,0.0,0.0,0.0,0.0,1.259034523710116
11,2015,MK01,M,1435696008.2203822,2841679764.615012,5.185611407544052,32.87024173381496,0.0,0.0,0.0,0.0,8.48920496191351
12,2015,MK01,N,1337136314.768274,2646600106.4660125,4.82962220943879,32.87024173381495,0.0,0.0,0.0,0.0,7.906425993449681
13,2015,MK01,O,1042241789.1856974,2062914004.919704,3.7644883599835484,32.87024173381494,0.0,0.0,0.0,0.0,6.162728124623079
14,2015,MK01,P,1006485705.3721266,1992141822.4708235,3.6353404379644663,32.87024173381495,0.0,0.0,0.0,0.0,5.95130403317839
15,2015,MK01,Q,2232764430.609791,4419320988.069544,8.064554498609041,32.87024173381494,0.0,0.0,0.0,0.0,13.202234160009652
16,2015,MK01,R,968454412.7146862,1916866308.609946,3.497974655849819,32.87024173381495,0.0,0.0,0.0,0.0,5.726426735695531
17,2015,MK01,T,46798692.25407569,92628868.526072,0.1690328809311744,32.87024173381495,0.0,0.0,0.0,0.0,0.27671853109546213
18,2015,MK02,A,207124208.3923437,152925147.1904737,2.200680052299948,-15.053230997771719,0.0,0.0,0.0,0.0,4.457244087401772
19,2015,MK02,B,7527787.382591026,5557959.653468864,0.07998220806446144,-15.053230997771724,0.0,0.0,0.0,0.0,0.16199548117868293
20,2015,MK02,C,713841147.9672794,527047337.78259856,7.584511665902189,-15.053230997771733,0.0,0.0,0.0,0.0,15.361624123116568
21,2015,MK02,D,27051610.21404787,19972901.79565273,0.28742144360006755,-15.053230997771735,0.0,0.0,0.0,0.0,0.582141656048542
